name,cc
kinshuk007,1.0
LowerMiddleClass,0.0
nylaboo16,0.12
michaeljohnmcdonagh,0.0
staciwacy,0.38961038961
jackeveritt,0.0
Whisperingangelsart,0.0
Bellviewph,0.3
EternalLifeThruJesus,0.0
thoughtbubbles,0.666666666667
drgarza,0.380952380952
yannalworld,0.0
Jayyyohhh,0.363636363636
LiamGreatWhite,0.0
angieshdz,0.666666666667
fourwinds,0.0
Wheretoruntolive,0.0
BlackParadise,0.166666666667
ZainabMarnie,0.107954545455
akokazeh,0.0
istarlet,0.0
themack,0.0
cingXX,0.0
deadinside,0.126811594203
thecoffeelady,0.154150197628
elderbritches,0.0
geauxamyb,0.5
huntressofvirtue,0.0
simbasa,0.0
haileyjo,0.666666666667
carys,0.714285714286
angelface94,0.142857142857
jpkc1313,0.0
iluminati,0.5
vousspa,0.287878787879
poeticmind,0.0
muddyduckiespuddle,0.0
caramele,0.0
sammweberi,0.133333333333
leshughes,0.428571428571
PoisonIvy,0.1
jimgrooving,0.0
Chriscly,0.0
fight4luv,0.121212121212
DaCiscoKid,1.0
JamesHungar,0.0
SabrinaAnn,0.166666666667
mountainbike,0.155303030303
c0013rth4ny00,0.0
PixieTiff,0.0
HeatherMarieAlex,0.333333333333
jillianjensen,0.0
ScottysBlog,0.0
lhbandit,0.363636363636
joelk,0.0
brandink1969yahoocom,0.0
Nyobsibhlub,0.0
ratac56,0.0
thesmalltalesofwales,0.0
tisha81,0.374269005848
tangosherwin,0.266666666667
libbylovesvintage,0.0
awesome3sweet3,0.0
JudyinNC,0.172895189003
roomofmyown,0.185997910136
s4l420s4l,0.333333333333
kiyahboo96,0.133333333333
jimbobmcarthy,0.0
jlaniksmith,0.0
gatekeeperslair,0.277777777778
hopefields,0.132832080201
lippyjo01,1.0
rickerlus,0.0909090909091
taylorispornotastic,0.0
tatum,0.0
K9ERSJackPrice,0.4
beingmona,0.0
epistling,0.168091168091
wwwCANativecom,0.0
fullquill,0.166666666667
twistedkites,0.0
sikandar,1.0
RegretfulHorse,0.8
Jewels,0.166666666667
KylerUlsy,0.960144927536
mandyslover03,0.4
Stella1969,1.0
armstrongshiz,0.0
Philimon,0.0
youngpoetsvoice,0.155555555556
kayakgirl,0.0
patrickjpeterson2012,0.0
deirdre2000,0.0
bonniebri,0.178571428571
downbythebillabong,0.0
windingsaimee,0.0
mommyof2,0.9
ChampagneSupernova,0.0
chrisbrandon13,0.0
sophielast,0.4
gingnangboyz,1.0
ericsbizonline,1.0
bufordboss,0.104761904762
chansster,0.0
Bellathorneofficial,0.0
scottishthought,0.0
chantelle2812,0.333333333333
teenprincess,0.0
santoshmarripalli,0.333333333333
angied,0.2
VenessaS,0.0
sizedontmatter,0.171428571429
MeghanM,0.0
wrongwayriley,0.1
LovelyLinda,0.108173076923
huntress,0.2
brandy90,0.0
royalsunny,0.0
mommadish,0.392857142857
Sayreguy,0.214285714286
ColorfulRayne,0.0555555555556
f04kikue,0.0
KairiGirl1231,0.0
ccasey18,0.6
gingerdoxie,0.315789473684
GratiaZora,1.0
jordenmark,0.0
Boycrazy10,0.0
harrypottergirl,1.0
jme,0.039886039886
umarfarooq,0.27619047619
jorgedotn,0.389473684211
bapelachyk,0.0
robinleigh3,0.0
haileyclark1,0.35960591133
meidza09,0.0
NatzLoves1D,0.0
superhomebrew,0.333333333333
dwest,0.222222222222
daddylonglegs,0.0
teenandtalkative,0.0
forestcreek,0.0
prettyinpinkuk,0.0689075630252
KEPPERatHOWRSE,0.0
TrueLifeALW,0.727272727273
marshallabele,0.0
findingnemo,1.0
michaeljackson,0.0
maifengyang,0.0
shannantroxel,0.222222222222
myescape,0.0
boriskarpichkov,0.0
enchantress,0.227941176471
malgen,0.1
SacshaaR10,0.133333333333
poshknobs,0.0
Graveseeker,0.0
raniellee16,0.8
ALLsports2848,0.3
rebel-butterfactory,1.0
irianiinaotearoa,0.149206349206
BellaUna,1.0
deadXinsideX92710,0.0
hot,0.952380952381
TheGoodTimes,0.0420960877814
jodyaerosmithfancom,0.0
Katrinalawlz,0.0
kurdishgirl,0.0
cheetah,0.127272727273
MMACoach,0.0
Tyanna,0.0
topcat128,0.6
ThebeEPGroup,0.0666666666667
mmilk321,0.555555555556
keelytessier,0.52380952381
vampirevixen,0.0
possum,0.0795795795796
MichaelCarlos,1.0
joshuaflyboy,0.0
scenegirl,0.0
hermajesty,0.0676923076923
stevex09,1.0
OtrinBaibe,0.0714285714286
happycathycat,0.833333333333
chibi4ever,0.0
chynadoll,1.0
LookinAtItmyway,0.201581027668
awakemysoul,0.0555231993788
JadynDonovan,0.0
jhill23,0.47619047619
twilighters101,0.2
catherinesworld,0.0
Steph3131982,0.19696969697
SDH88,0.0
creativedaydreamer,0.153846153846
camibolsilluda,0.0
Lemongrabbb,0.0
arinday,0.0
maddkati,0.0
mitliebe,0.0
princesstarheart101,0.0
PotashTam,0.0
luminousspark,0.576923076923
GTASAHOMO,0.123188405797
MrAnonyous,0.152046783626
lisafrankroxanne,0.0
foodandlitcourse,0.132394366197
cheersfrombackstage,0.305555555556
margiem49,0.0
aryankumar,0.178571428571
miamibeachvintage,0.194444444444
sydneyjane,0.666666666667
bigtitts101,0.0
lifeline,0.283333333333
demi1272,0.111538461538
TOOBEFIT,0.0
stevens,0.454545454545
RyanDunlap,0.0
randomization,0.0
rebkin,0.0
kaliangel,0.0684210526316
nniltiak,0.0
lelebell82,1.0
godenver,0.0
tiffiehsunshine,0.0
hidden,0.388888888889
ReynoldsBond,0.1
nymwolf378,0.327272727273
rajeshpanda,0.0897435897436
myconfessions,0.247619047619
katiesmom,1.0
heinny,0.192307692308
shakakhannow,0.0
spazzysaraianne,0.439393939394
jeffmackowski,0.221052631579
mysteriousbabygirl,0.0
penonherhands,0.0
SamTheBam13,0.0
zjayray,1.0
xveganx,0.133333333333
steampunksleek,0.133333333333
lindseyloho,0.0
melskulk,0.0
aOneLeggedMan,0.688888888889
yubby,1.0
EvinSanders,0.0
NatashaRaatz,0.315789473684
becca1993,0.333333333333
moogan07,0.0
XxsunshinelolipopxX,0.333333333333
ashleighno3,0.130434782609
welovebags,0.0714285714286
NicoleJacobson,0.5
seanaday,0.0
Shay-Baby,0.190476190476
waqashussain,0.5
conservativerepublicans,1.0
strongdudebass,0.0
skpmusicvideorision,1.0
loveissweet200,0.0
gamekittylinks,0.238095238095
wordsfromLA,0.5
wilson99,0.333333333333
amaurilio90,0.0
syedfaraz,1.0
kbar,0.0384615384615
chipink,0.0
